Original_ID	Original_Description	Mapping	Original_Index	Cluster_Center_Boolean	MetaGeneSet	MetaGeneSet_Description
GO:0016408	C-acyltransferase activity	0	3457	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
KEGG_BUTANOATE_METABOLISM	KEGG_BUTANOATE_METABOLISM	0	84	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
KEGG_FATTY_ACID_METABOLISM	KEGG_FATTY_ACID_METABOLISM	0	112	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
KEGG_BETA_ALANINE_METABOLISM	KEGG_BETA_ALANINE_METABOLISM	0	120	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
GO:0060612	adipose tissue development	0	14188	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
KEGG_LYSINE_DEGRADATION	KEGG_LYSINE_DEGRADATION	0	55	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
GO:0009081	branched chain family amino acid metabolic process	0	13435	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
GO:0009083	branched chain family amino acid catabolic process	0	13430	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	0	30	True	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA:OXIDATION	REACTOME_MITOCHONDRIAL_FATTY_ACID_BETA:OXIDATION	0	4439	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
GO:0000062	fatty-acyl-CoA binding	0	3014	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
ENSG00000165672	PRDX3 PPI subnetwork	0	6213	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
KEGG_PROPANOATE_METABOLISM	KEGG_PROPANOATE_METABOLISM	0	98	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
REACTOME_BRANCHED:CHAIN_AMINO_ACID_CATABOLISM	REACTOME_BRANCHED:CHAIN_AMINO_ACID_CATABOLISM	0	4339	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
MP:0002893	ketoaciduria	0	2366	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
GO:0003995	acyl-CoA dehydrogenase activity	0	3133	False	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION
KEGG_GLIOMA	KEGG_GLIOMA	1	129	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
ENSG00000134107	BHLHE40 PPI subnetwork	1	5195	False	KEGG_CHRONIC_MYELOID_LEUKEMIA	KEGG_CHRONIC_MYELOID_LEUKEMIA
